"Date","Prefecture","NewlyConfirmedCases","NumberOfDeaths","SevereCases"
2020-02-04,"Kumamoto",0,NA,NA
2020-02-04,"Kyoto",0,NA,NA
2020-02-04,"Mie",0,NA,NA
2020-02-04,"Miyagi",0,NA,NA
2020-02-04,"Miyazaki",0,NA,NA
2020-02-04,"Nagano",0,NA,NA
2020-02-04,"Nagasaki",0,NA,NA
2020-02-04,"Nara",0,NA,NA
2020-02-04,"Niigata",0,NA,NA
2020-02-04,"Oita",0,NA,NA
2020-02-04,"Okayama",0,NA,NA
2020-02-04,"Okinawa",0,NA,NA
2020-02-04,"Osaka",0,NA,NA
2020-02-04,"Saga",0,NA,NA
2020-02-04,"Saitama",0,NA,NA
2020-02-04,"Shiga",0,NA,NA
2020-02-04,"Shimane",0,NA,NA
2020-02-04,"Shizuoka",0,NA,NA
2020-02-04,"Tochigi",0,NA,NA
2020-02-04,"Tokushima",0,NA,NA
2020-02-04,"Tokyo",0,NA,NA
2020-02-04,"Tottori",0,NA,NA
2020-02-04,"Toyama",0,NA,NA
2020-02-04,"Wakayama",0,NA,NA
2020-02-04,"Yamagata",0,NA,NA
2020-02-04,"Yamaguchi",0,NA,NA
2020-02-04,"Yamanashi",0,NA,NA
2020-02-05,"Aichi",0,NA,NA
2020-02-05,"Akita",0,NA,NA
2020-02-05,"Aomori",0,NA,NA
2020-02-05,"Chiba",1,NA,NA
2020-02-05,"Ehime",0,NA,NA
2020-02-05,"Fukui",0,NA,NA
2020-02-05,"Fukuoka",0,NA,NA
2020-02-05,"Fukushima",0,NA,NA
2020-02-05,"Gifu",0,NA,NA
2020-02-05,"Gunma",0,NA,NA
2020-02-05,"Hiroshima",0,NA,NA
2020-02-05,"Hokkaido",0,NA,NA
2020-02-05,"Hyogo",0,NA,NA
2020-02-05,"Ibaraki",0,NA,NA
2020-02-05,"Ishikawa",0,NA,NA
2020-02-05,"Iwate",0,NA,NA
2020-02-05,"Kagawa",0,NA,NA
2020-02-05,"Kagoshima",0,NA,NA
2020-02-05,"Kanagawa",0,NA,NA
2020-02-05,"Kochi",0,NA,NA
2020-02-05,"Kumamoto",0,NA,NA
2020-02-05,"Kyoto",1,NA,NA
2020-02-05,"Mie",0,NA,NA
2020-02-05,"Miyagi",0,NA,NA
2020-02-05,"Miyazaki",0,NA,NA
2020-02-05,"Nagano",0,NA,NA
2020-02-05,"Nagasaki",0,NA,NA
2020-02-05,"Nara",0,NA,NA
2020-02-05,"Niigata",0,NA,NA
2020-02-05,"Oita",0,NA,NA
2020-02-05,"Okayama",0,NA,NA
2020-02-05,"Okinawa",0,NA,NA
2020-02-05,"Osaka",0,NA,NA
2020-02-05,"Saga",0,NA,NA
2020-02-05,"Saitama",0,NA,NA
2020-02-05,"Shiga",0,NA,NA
2020-02-05,"Shimane",0,NA,NA
2020-02-05,"Shizuoka",0,NA,NA
2020-02-05,"Tochigi",0,NA,NA
2020-02-05,"Tokushima",0,NA,NA
2020-02-05,"Tokyo",0,NA,NA
2020-02-05,"Tottori",0,NA,NA
2020-02-05,"Toyama",0,NA,NA
2020-02-05,"Wakayama",0,NA,NA
2020-02-05,"Yamagata",0,NA,NA
2020-02-05,"Yamaguchi",0,NA,NA
2020-02-05,"Yamanashi",0,NA,NA
2020-02-06,"Aichi",0,NA,NA
2020-02-06,"Akita",0,NA,NA
2020-02-06,"Aomori",0,NA,NA
2020-02-06,"Chiba",0,NA,NA
2020-02-06,"Ehime",0,NA,NA
2020-02-06,"Fukui",0,NA,NA
2020-02-06,"Fukuoka",0,NA,NA
2020-02-06,"Fukushima",0,NA,NA
2020-02-06,"Gifu",0,NA,NA
2020-02-06,"Gunma",0,NA,NA
2020-02-06,"Hiroshima",0,NA,NA
2020-02-06,"Hokkaido",0,NA,NA
2020-02-06,"Hyogo",0,NA,NA
2020-02-06,"Ibaraki",0,NA,NA
2020-02-06,"Ishikawa",0,NA,NA
2020-02-06,"Iwate",0,NA,NA
2020-02-06,"Kagawa",0,NA,NA
2020-02-06,"Kagoshima",0,NA,NA
2020-02-06,"Kanagawa",0,NA,NA
2020-02-06,"Kochi",0,NA,NA
2020-02-06,"Kumamoto",0,NA,NA
2020-02-06,"Kyoto",0,NA,NA
2020-02-06,"Mie",0,NA,NA
2020-02-06,"Miyagi",0,NA,NA
2020-02-06,"Miyazaki",0,NA,NA
2020-02-06,"Nagano",0,NA,NA
2020-02-06,"Nagasaki",0,NA,NA
2020-02-06,"Nara",0,NA,NA
2020-02-06,"Niigata",0,NA,NA
2020-02-06,"Oita",0,NA,NA
2020-02-06,"Okayama",0,NA,NA
2020-02-06,"Okinawa",0,NA,NA
2020-02-06,"Osaka",0,NA,NA
2020-02-06,"Saga",0,NA,NA
2020-02-06,"Saitama",0,NA,NA
2020-02-06,"Shiga",0,NA,NA
2020-02-06,"Shimane",0,NA,NA
2020-02-06,"Shizuoka",0,NA,NA
2020-02-06,"Tochigi",0,NA,NA
2020-02-06,"Tokushima",0,NA,NA
2020-02-06,"Tokyo",0,NA,NA
2020-02-06,"Tottori",0,NA,NA
2020-02-06,"Toyama",0,NA,NA
2020-02-06,"Wakayama",0,NA,NA
2020-02-06,"Yamagata",0,NA,NA
2020-02-06,"Yamaguchi",0,NA,NA
2020-02-06,"Yamanashi",0,NA,NA
2020-02-07,"Aichi",0,NA,NA
2020-02-07,"Akita",0,NA,NA
2020-02-07,"Aomori",0,NA,NA
2020-02-07,"Chiba",0,NA,NA
2020-02-07,"Ehime",0,NA,NA
2020-02-07,"Fukui",0,NA,NA
2020-02-07,"Fukuoka",0,NA,NA
2020-02-07,"Fukushima",0,NA,NA
2020-02-07,"Gifu",0,NA,NA
2020-02-07,"Gunma",0,NA,NA
2020-02-07,"Hiroshima",0,NA,NA
2020-02-07,"Hokkaido",0,NA,NA
2020-02-07,"Hyogo",0,NA,NA
2020-02-07,"Ibaraki",0,NA,NA
2020-02-07,"Ishikawa",0,NA,NA
2020-02-07,"Iwate",0,NA,NA
2020-02-07,"Kagawa",0,NA,NA
2020-02-07,"Kagoshima",0,NA,NA
2020-02-07,"Kanagawa",0,NA,NA
2020-02-07,"Kochi",0,NA,NA
2020-02-07,"Kumamoto",0,NA,NA
2020-02-07,"Kyoto",0,NA,NA
